Date,ret,limit_weight_share,one_line_like_weight_share,n_limit,n_one_line_like,protocol
2025-07-07,0.03290683614999528,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-07-08,0.05639466777497916,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-07-09,0.257726380967111,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-07-10,0.1781027461587464,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-07-11,0.21238113943550996,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-07-14,0.28010332418101824,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-07-15,0.2489173918302408,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-07-16,0.4923330435118248,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-07-17,0.14478772398851963,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-07-18,0.028175672808444564,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-07-21,0.08561303380323022,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-07-22,0.027245934936583407,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-07-23,0.04364210444098499,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-07-24,0.042828187577016015,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-07-25,0.024873560500781596,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-07-28,-0.0023609623046308417,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-07-29,0.029331185590576417,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-07-30,-0.07881449801435526,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-07-31,0.029704388879736088,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-08-01,0.01221341935870079,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-08-04,-0.039338492683364756,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-08-05,-0.039699702677203914,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-08-06,0.112988951028031,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-08-07,0.2011444766501425,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-08-08,0.14975888156632958,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-08-11,-0.014305469738077918,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-08-12,0.038184315545082954,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-08-13,0.0804901580846559,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-08-14,-0.014258322134353645,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-08-15,-0.05423985551597576,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-08-18,0.051077979934986355,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-08-19,0.004821986245559885,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-08-20,0.013220046443627627,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-08-21,0.036256823836259014,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-08-22,0.04256045591347672,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-08-25,0.07935510719027244,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-08-26,0.25352428077488065,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-08-27,0.13756438512910107,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-08-28,0.07052940603768983,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-08-29,0.039097180412813126,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-09-01,0.01770928104122966,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-09-02,0.11198803921208988,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-09-03,0.2017583486377755,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-09-04,-0.03623443012469633,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-09-05,-0.08734064492632224,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-09-08,0.008962543450243155,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-09-09,0.14618998566027672,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-09-10,0.105341004434485,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-09-11,0.010285484538033246,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-09-12,-0.01740243123181572,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-09-15,0.04062980559458866,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-09-16,-0.0029420408261212013,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-09-17,0.03739938583121678,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-09-18,0.017432636620708736,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-09-19,-0.06070701823581852,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-09-22,0.05488551328909122,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-09-23,-0.01956159471531552,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-09-24,-0.023006760823473492,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-09-25,-0.05167993369074622,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-09-26,0.04867701116289817,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-09-29,0.0901262987286959,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-09-30,0.11917249141570221,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-10-09,0.0464460957055695,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-10-10,0.0494557923507212,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-10-13,0.08965746167122425,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-10-14,0.023461983145888227,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-10-15,0.06708729078765822,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-10-16,0.012157463190851963,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-10-17,-0.05690330514201133,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-10-20,-0.03684045894717582,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-10-21,-0.012289630138955922,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-10-22,-9.408659251871219e-05,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-10-23,-0.007116221266765586,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-10-24,0.13163411803245645,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-10-27,0.09797266752455375,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-10-28,0.1596286746736456,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-10-29,0.07756517049293399,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-10-30,0.028506695396891164,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-10-31,-0.005050747134661351,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-11-03,0.018657155675731438,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-11-04,0.018461621105965,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-11-05,0.027981972589977137,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-11-06,0.06713319264646718,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-11-07,-0.0038687816036653395,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-11-10,0.015995921329249332,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-11-11,0.19139020561604927,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-11-12,0.08028847705967072,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-11-13,0.06076668773076159,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-11-14,-0.04078838926669906,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-11-17,-0.056718290895155836,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-11-18,-0.04780406856305738,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-11-19,-0.0902052095447372,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-11-20,0.13764838393482356,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-11-21,-0.06949864449568922,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-11-24,0.09064210215647608,0.0,0.0,0.0,0.0,limit_up_haircut_20
