Date,model,nav,drawdown
2024-07-29,PPO Gate,13.163569652390521,0.0
2024-07-30,PPO Gate,13.487810089389658,0.0
2024-07-31,PPO Gate,13.456228844331592,-0.0023414657271093597
2024-08-01,PPO Gate,12.96571526043225,-0.038708643248774766
2024-08-02,PPO Gate,11.916331446491292,-0.11651102977306804
2024-08-05,PPO Gate,11.849222743697156,-0.12148653746107496
2024-08-06,PPO Gate,12.200632479094267,-0.09543266117810811
2024-08-07,PPO Gate,11.720045456201653,-0.13106387333987135
2024-08-08,PPO Gate,11.18596744569452,-0.17066096189372582
2024-08-09,PPO Gate,11.072588369413317,-0.17906700227609984
2024-08-12,PPO Gate,11.100532068128837,-0.17699522794577316
2024-08-13,PPO Gate,10.879778154720118,-0.1933621482942719
2024-08-14,PPO Gate,11.054883177169252,-0.18037968329152976
2024-08-15,PPO Gate,10.690013147614671,-0.20743151951523298
2024-08-16,PPO Gate,10.510655730193088,-0.22072926141943405
2024-08-19,PPO Gate,10.957532912366606,-0.1875973312386363
2024-08-20,PPO Gate,11.625053016636326,-0.1381067097184807
2024-08-21,PPO Gate,13.119518768624992,-0.027305494244346362
2024-08-22,PPO Gate,14.720657810846037,0.0
2024-08-23,PPO Gate,15.816833295648381,0.0
2024-08-26,PPO Gate,17.24376770428546,0.0
2024-08-27,PPO Gate,16.97287676978003,-0.01570949801406274
2024-08-28,PPO Gate,15.761772983562057,-0.08594378827981397
2024-08-29,PPO Gate,16.088468707279542,-0.0669980607961217
2024-08-30,PPO Gate,15.381840413657255,-0.10797682516712837
2024-09-02,PPO Gate,17.73982028304266,0.0
2024-09-03,PPO Gate,18.802915073840904,0.0
2024-09-04,PPO Gate,18.489264610131443,-0.016680948803827755
2024-09-05,PPO Gate,17.296814312379542,-0.08009932266070208
2024-09-06,PPO Gate,17.120256066680266,-0.08948926273147906
2024-09-09,PPO Gate,17.243780828551312,-0.08291981531409987
2024-09-10,PPO Gate,18.498355237793582,-0.016197479744565424
2024-09-11,PPO Gate,22.88423673799553,0.0
2024-09-12,PPO Gate,25.439040104510223,0.0
2024-09-13,PPO Gate,27.96839565369167,0.0
2024-09-18,PPO Gate,35.01665100413462,0.0
2024-09-19,PPO Gate,42.88128894769008,0.0
2024-09-20,PPO Gate,48.40526474517119,0.0
2024-09-23,PPO Gate,51.694486815476914,0.0
2024-09-24,PPO Gate,59.35318407655816,0.0
2024-09-25,PPO Gate,66.79626947243956,0.0
2024-09-26,PPO Gate,69.43015494904853,0.0
2024-09-27,PPO Gate,69.67937799631308,0.0
2024-09-30,PPO Gate,69.99898560791473,0.0
2024-10-08,PPO Gate,67.84629546440547,-0.03075316198961975
2024-10-09,PPO Gate,75.13944240212112,0.0
2024-10-10,PPO Gate,76.17893926695494,0.0
2024-10-11,PPO Gate,75.43384707219502,-0.009780816088143296
2024-10-14,PPO Gate,120.38699958082815,0.0
2024-10-15,PPO Gate,176.4246165841779,0.0
2024-10-16,PPO Gate,221.06186620118356,0.0
2024-10-17,PPO Gate,272.37185502660964,0.0
2024-10-18,PPO Gate,355.7958383861125,0.0
2024-10-21,PPO Gate,458.8871924296141,0.0
2024-10-22,PPO Gate,588.5218271068642,0.0
2024-10-23,PPO Gate,684.0803113432822,0.0
2024-10-24,PPO Gate,796.4039916689779,0.0
2024-10-25,PPO Gate,887.2250284856798,0.0
2024-10-28,PPO Gate,936.9007457182115,0.0
2024-10-29,PPO Gate,958.553265909735,0.0
2024-10-30,PPO Gate,980.974299648592,0.0
2024-10-31,PPO Gate,1150.7953382387316,0.0
2024-11-01,PPO Gate,1317.9564803738394,0.0
2024-11-04,PPO Gate,1584.2868302044956,0.0
2024-11-05,PPO Gate,1747.010378275614,0.0
2024-11-06,PPO Gate,1818.5449388739066,0.0
2024-11-07,PPO Gate,1818.3332756546615,-0.00011639152529063779
2024-11-08,PPO Gate,1892.150446637856,0.0
2024-11-11,PPO Gate,1891.2279218596457,-0.00048755360856722607
2024-11-12,PPO Gate,1763.630420712016,-0.06792273106729219
2024-11-13,PPO Gate,1973.5960985927074,0.0
2024-11-14,PPO Gate,2198.564643407881,0.0
2024-11-15,PPO Gate,2714.785508781979,0.0
2024-11-18,PPO Gate,3133.21560454344,0.0
2024-11-19,PPO Gate,3499.205556620678,0.0
2024-11-20,PPO Gate,3711.873088051131,0.0
2024-11-21,PPO Gate,3842.358099947867,0.0
2024-11-22,PPO Gate,4000.477579618706,0.0
2024-11-25,PPO Gate,3842.146442274144,-0.039578058917568715
2024-11-26,PPO Gate,3898.093941473274,-0.025592853880008648
2024-11-27,PPO Gate,4847.295812744001,0.0
2024-11-28,PPO Gate,4986.5207988481625,0.0
2024-11-29,PPO Gate,5091.208632159074,0.0
2024-12-02,PPO Gate,5213.289066348154,0.0
2024-12-03,PPO Gate,5370.822701350125,0.0
2024-12-04,PPO Gate,5345.708785773038,-0.0046759904345332615
2024-12-05,PPO Gate,5376.967361274315,0.0
2024-12-06,PPO Gate,5315.980476058604,-0.011342245752679836
2024-12-09,PPO Gate,5221.2120390843675,-0.028967131791001743
2024-12-10,PPO Gate,5456.611986648056,0.0
2024-12-11,PPO Gate,5853.40736226931,0.0
2024-12-12,PPO Gate,6486.66866951925,0.0
2024-12-13,PPO Gate,7188.218357528021,0.0
2024-12-16,PPO Gate,7096.306861479138,-0.01278640846415402
2024-12-17,PPO Gate,7093.156479311361,-0.013224678701796111
2024-12-18,PPO Gate,7059.414919445754,-0.01791868745158176
2024-12-19,PPO Gate,6979.606937973666,-0.029021296958220866
2024-12-20,PPO Gate,6914.949824865858,-0.038016170220535495
2024-12-23,PPO Gate,6846.98417016021,-0.047471316311704204
2024-12-24,PPO Gate,6853.182148996658,-0.04660907499846456
2024-12-25,PPO Gate,5824.276017381723,-0.18974692647140845
2024-12-26,PPO Gate,5787.482502245725,-0.1948655126503418
2024-12-27,PPO Gate,5829.771497430063,-0.1889824143524097
2024-12-30,PPO Gate,6127.290115126919,-0.14759265643203812
2024-12-31,PPO Gate,6892.631056944078,-0.04112107978389146
2025-01-02,PPO Gate,6963.8677583210265,-0.031210877027968764
2025-01-03,PPO Gate,7646.697494465871,0.0
2025-01-06,PPO Gate,7475.731762808789,-0.022358113653745848
2025-01-07,PPO Gate,7386.056450174608,-0.0340854394305381
2025-01-08,PPO Gate,6851.519486103592,-0.10398973006814671
2025-01-09,PPO Gate,6718.659274193605,-0.12136457875362716
2025-01-10,PPO Gate,7019.1113503697,-0.08207283530574783
2025-01-13,PPO Gate,7246.6816149305805,-0.052312240653536235
2025-01-14,PPO Gate,7382.155056027253,-0.034595645849737844
2025-01-15,PPO Gate,7311.646781693935,-0.043816394334210584
2025-01-16,PPO Gate,6936.328220382475,-0.0928988330710756
2025-01-17,PPO Gate,6842.8396886249775,-0.1051248341421468
2025-01-20,PPO Gate,6928.489105232869,-0.093923996568818
2025-01-21,PPO Gate,6710.470353066214,-0.12243548827153572
2025-01-22,PPO Gate,6322.210192710291,-0.17321036992952166
2025-01-23,PPO Gate,6010.11207575008,-0.21402512913584382
2025-01-24,PPO Gate,6114.208636928128,-0.20041185866798683
2025-01-27,PPO Gate,7776.53298377685,0.0
2025-02-05,PPO Gate,9247.894963740473,0.0
2025-02-06,PPO Gate,10329.149366487012,0.0
2025-02-07,PPO Gate,11638.066551387554,0.0
2025-02-10,PPO Gate,13054.835175048715,0.0
2025-02-11,PPO Gate,13356.166455791858,0.0
2025-02-12,PPO Gate,13953.134298928748,0.0
